revenue,imdb_rating,wiki_sv,wiki_en,production_budget,sf_rating
74703.0,6.4,2.0,340.0,25000000.0,2.0
11975.0,7.2,0,0,0,2.24
51748.0,7.5,58.0,4773.0,0,3.36
27152.0,5.1,0,0,35000000.0,1.57
48913.0,6.5,0,0,8500000.0,3.03
63031.0,7.3,0,5991.0,11000000.0,3.12
138021.0,6.6,0,0,10000000.0,2.46
175150.0,6.8,0,0,49000000.0,3.09
236615.0,6.5,0,91463.0,55000000.0,3.01
60240.0,6.8,0,452.0,0,1.57
45133.0,5.9,0,4171.0,18000000.0,2.83
204528.0,6.6,0,0,50000000.0,2.56
177642.0,5.7,55.0,25616.0,35000000.0,1.93
36940.0,8.2,23.0,0,19500000.0,2.44
261520.0,7.4,0,0,0,3.97
62349.0,7.5,0,0,5000000.0,3.58
50045.0,7.2,611.0,32218.0,30000000.0,3.51
78043.0,5.5,0,0,95000000.0,1.75
31033.0,5.2,0,1789.0,0,1.67
43872.0,8.2,371.0,461.0,0,4.01
121277.0,7.2,1.0,660.0,0,4.26
6869.0,7.4,0,73.0,0,3.35
12841.0,7.1,0,7201.0,0,3.43
166258.0,7.1,1190.0,1161.0,0,3.19
92942.0,7.3,4.0,1041.0,35000000.0,3.67
46121.0,7.8,4.0,243.0,0,4.45
53701.0,5.4,0,0,70000000.0,2.03
62682.0,6.3,0,0,0,3.78
11149.0,6.7,70.0,856.0,600000.0,3.63
4652.0,6.3,0,0,0,1.6
147770.0,6.9,0,3242.0,0,3.71
56630.0,7.1,0,0,22500000.0,2.49
56563.0,7.0,80.0,1074.0,0,2.5
21252.0,7.3,0,0,0,3.21
11833.0,6.9,0,1125.0,0,3.92
25482.0,7.2,0,0,0,3.74
106954.0,6.5,0,0,0,2.29
7226.0,6.4,0,0,0,2.79
2928284.0,7.1,0,0,0,3.24
11391.0,7.3,0,156.0,0,3.03
10013.0,6.3,0,29.0,0,3.31
5853.0,6.7,0,241.0,0,3.04
9743.0,5.2,8.0,196.0,10000000.0,4.51
13529.0,0,0,0,0,3.05
184075.0,7.0,0,0,0,3.9
22219.0,6.7,0,0,0,2.86
15801.0,8.3,94.0,11.0,0,3.92
16229.0,6.1,0,0,0,2.45
46220.0,6.7,0,0,0,2.98
37218.0,5.4,0,0,0,2.58
45119.0,7.2,0,0,0,2.45
11401.0,7.4,0,0,0,2.83
592376.0,7.3,0,0,58800000.0,2.39
2479542.0,6.7,0,0,125000000.0,3.41
1203350.0,8.1,0,0,170000000.0,2.86
683843.0,7.8,0,0,60000000.0,3.15
3590848.0,7.4,0,0,0,2.89
570384.0,7.0,0,0,180000000.0,2.72
1008111.0,7.8,0,0,165000000.0,3.69
981934.0,7.6,0,0,170000000.0,3.45
1035953.0,6.7,0,0,0,2.74
845286.0,6.4,0,0,160000000.0,2.23
504222.0,7.0,0,0,50000000.0,2.58
578121.0,5.8,0,0,125000000.0,1.9
1366682.0,8.6,0,0,165000000.0,3.6
1140226.0,7.8,0,0,145000000.0,2.94
578479.0,8.1,0,0,61000000.0,3.6
457362.0,6.7,0,0,85000000.0,2.69
725902.0,6.3,0,0,103000000.0,2.65
98362.0,6.0,0,0,50000000.0,2.61
409811.0,6.4,0,0,40000000.0,2.49
297673.0,7.8,0,0,12000000.0,3.35
360496.0,7.2,0,0,65000000.0,2.64
346695.0,6.2,0,0,127000000.0,2.89
382985.0,6.8,0,0,145000000.0,3.23
685514.0,6.2,0,0,110000000.0,1.82
653345.0,6.8,0,0,34000000.0,2.46
329316.0,7.2,0,0,55000000.0,2.42
708699.0,5.8,0,0,125000000.0,2.31
451149.0,7.9,0,0,178000000.0,2.88
254899.0,7.0,0,0,50000000.0,2.7
340803.0,8.0,0,0,0,3.45
816838.0,5.6,0,0,40000000.0,1.79
117804.0,5.3,0,0,65000000.0,2.17
603696.0,7.6,0,0,68000000.0,2.45
416310.0,5.4,0,0,6500000.0,2.58
462852.0,6.0,0,0,40000000.0,2.17
520808.0,6.7,0,0,132000000.0,2.56
501552.0,6.1,0,0,70000000.0,1.95
154476.0,6.0,0,0,100000000.0,2.59
114303.0,6.5,0,0,9000000.0,2.72
768417.0,6.0,0,0,140000000.0,2.27
496316.0,8.1,0,0,25000000.0,4.08
692317.0,6.0,0,0,50000000.0,2.17
555296.0,6.2,0,0,100000000.0,2.54
455109.0,6.3,0,0,70000000.0,1.81
110392.0,4.5,0,0,5000000.0,1.53
156416.0,6.8,0,0,60000000.0,2.93
232247.0,6.2,0,0,60000000.0,2.19
124690.0,5.8,0,0,50000000.0,2.23
22850.0,6.5,0,0,40000000.0,0.99
391424.0,6.5,0,0,66000000.0,1.85
194560.0,6.1,0,0,40000000.0,1.97
51796.0,7.3,0,0,20000000.0,1.96
