bom_movie_name;swedish_page_link;swedish_gross
Le Jour Se Leve (2014 re-release);N/A;N/A
That Man From Rio;N/A;N/A
Beneath the Harvest Sky;N/A;N/A
This Ain't No Mouse Music!;N/A;N/A
Expelled from Paradise;N/A;N/A
Tiger & Bunny The Movie: The Rising;N/A;N/A
Filth;N/A;N/A
Rocks in my Pockets;N/A;N/A
White Bird in a Blizzard;N/A;N/A
It Felt Like Love;N/A;N/A
K: Missing Kings;N/A;N/A
Big Bad Wolves;N/A;N/A
A Field in England;N/A;N/A
For a Woman;N/A;N/A
The Hero of Color City;N/A;N/A
Bird People;N/A;N/A
Abuse of Weakness;N/A;N/A
The Passionate Thief (2014 re-release);N/A;N/A
Documented;N/A;N/A
Happy Christmas;N/A;N/A
Jimmy P;N/A;N/A
Southern Baptist Sissies;N/A;N/A
A Long Way Off;N/A;N/A
Manakamana;N/A;N/A
Yellow Day;N/A;N/A
Othello (2014 re-release);N/A;N/A
Why Don't You Play in Hell;N/A;N/A
Stations of the Elevated;N/A;N/A
Closed Curtain;N/A;N/A
The King and the Mockingbird;N/A;N/A
Lilting;N/A;N/A
Last Weekend;N/A;N/A
Level Five;N/A;N/A
Elena (2014);N/A;N/A
Christian Mingle;N/A;N/A
Adult World;N/A;N/A
Born to Fly: Elizabeth Streb vs. Gravity;N/A;N/A
Happy Valley (2014);N/A;N/A
Believe Me;N/A;N/A
A Tale of Winter (Conte d'hiver);N/A;N/A
History of Jazz: Oxygen for the Ears;N/A;N/A
Video Games: The Movie;N/A;N/A
Short Peace;N/A;N/A
Two Lives;N/A;N/A
Grand Piano;N/A;N/A
May in the Summer;N/A;N/A
Bright Days Ahead;N/A;N/A
The Decent One;N/A;N/A
Memphis;N/A;N/A
NightLights;N/A;N/A
The Sacrifice;N/A;N/A
Lekar Hum Deewana Dil;N/A;N/A
The Great Flood;N/A;N/A
Coming Up Roses (2014 re-release);N/A;N/A
Run and Jump;N/A;N/A
The Past is a Grotesque Animal;N/A;N/A
Uzumasa Limelight;N/A;N/A
A Picture of You;N/A;N/A
Guardian Angel;N/A;N/A
Peter Brook: The Tightrope;N/A;N/A
Actress (2014);N/A;N/A
Watchers of the Sky;N/A;N/A
The Kill Team;N/A;N/A
Test;N/A;N/A
Tasting Menu;N/A;N/A
Two Night Stand;N/A;N/A
Who is Dayani Cristal?;N/A;N/A
Tosca's Kiss (2014 re-release);N/A;N/A
Journey to the West;N/A;N/A
One Day Pina Asked...;N/A;N/A
Kelly & Cal;N/A;N/A
The Homestretch;N/A;N/A
Stand Clear of the Closing Doors;N/A;N/A
Accident;N/A;N/A
Goodbye To All That;N/A;N/A
Cold Comes the Night;N/A;N/A
Hank and Asha;N/A;N/A
Burning Bush;N/A;N/A
Magician: The Astonishing Life and Work of Orson Welles;N/A;N/A
Levitated Mass;N/A;N/A
Olivia Experiment;N/A;N/A
Barefoot;N/A;N/A
Horses of God;N/A;N/A
Last Passenger;N/A;N/A
Exhibition;N/A;N/A
13 Sins;N/A;N/A
The Pretty One;N/A;N/A
Fifi Howls From Happiness;N/A;N/A
War of the Worlds: Goliath;N/A;N/A
A Long Way Down;N/A;N/A
Camp X-Ray;N/A;N/A
Days and Nights;N/A;N/A
Sol LeWitt;N/A;N/A
The Pleasures of Being Out of Step;N/A;N/A
K2: Siren of the Himalayas;N/A;N/A
Alien Abduction;N/A;N/A
Concerning Violence;N/A;N/A
Special ID;N/A;N/A
Bhopal: A Prayer for Rain;N/A;N/A
Boy Meets Girl;N/A;N/A
Touch the Wall;N/A;N/A
Wolves;N/A;N/A
In No Great Hurry: 13 Lessons in Life with Saul Leiter;N/A;N/A
The French Minister;N/A;N/A
Queen Margot (2014 re-release);N/A;N/A
Revenge of the Mekons;N/A;N/A
Falcon Rising;N/A;N/A
Life of Riley;N/A;N/A
Living is Easy with Eyes Closed;N/A;N/A
You're Not You;N/A;N/A
The Great Invisible;N/A;N/A
The Final Member;N/A;N/A
The Amazing Catfish;N/A;N/A
Dishkiyaoon;N/A;N/A
Policeman;N/A;N/A
